Serial_no,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:01,19:55,07h 54m,INR 945,26 Seats available,"3.5
118",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
1,KSRTC (Kerala) - 1210,SWIFT-HYBRID NON AC SEATER CUM SLEEPER,12:55,21:15,08h 20m,INR 740,1 Seat available,"3.8
20",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
2,KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,21:25,07h 39m,INR 1099,29 Seats available,"2.0
29",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
3,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,22:50,08h 35m,INR 945,27 Seats available,"4.2
77",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
4,KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,00:01,09h 01m,INR 801,11 Seats available,"3.9
15",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
5,KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,00:50,08h 48m,INR 740,2 Seats available,"2.8
20",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
6,KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,01:20,09h 04m,INR 832,26 Seats available,"4.1
9",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
7,KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,01:25,08h 40m,INR 832,1 Seat available,"4.1
12",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
8,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,INR 832,14 Seats available,"4.2
44",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
9,KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,INR 832,8 Seats available,"3.9
53",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
10,KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:31,06:36,09h 05m,INR 832,4 Seats available,"3.6
33",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
11,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,07:36,09h 24m,INR 832,5 Seats available,"4.2
17",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
12,KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,07:35,09h 03m,INR 945,3 Seats available,"3.8
46",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
13,KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:41,09:05,09h 24m,INR 945,4 Seats available,"3.4
52",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
14,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,INR 800,16 Seats available,"4.1
285",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
15,MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 999,16 Seats available,"4.4
515",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
16,P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 900,17 Seats available,"4.0
10",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
17,AdP K Travels,Non A/C Seater / Sleeper (2+1),18:45,05:15,10h 30m,INR 900,11 Seats available,"3.8
60",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
18,National travels and logistics,A/C Sleeper (2+1),22:45,07:00,08h 15m,999,14 Seats available,"4.3
19",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
19,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,INR 999,10 Seats available,"4.2
352",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
